Term,ES,NES,NOM p-val,FDR q-val,Lead_genes
Mitochondrial Translation R-HSA-5368287 [Reactome],0.7016416483126696,2.5513011553562355,0.0,0.0,ERAL1;MRPL39;GFM1;MRPL55;MRPL3;MRPL14;MRPS7;GADD45GIP1;MRPL49;MRPL20;MRRF;MRPL48;MRPL24;MRPS27;MRPL9;MRPL45;MRPS23;MRPS18A;MRPL43;MRPL12;MRPL15;MRPL53;TUFM;MRPS30;MRPL21;MRPL30;MRPL18;MRPL46;MRPL35;MRPL57;MRPL47;MRPL40;PTCD3;MTIF2;TSFM;MRPL38;MRPL17;MRPL41;MRPL32;MRPL13;MRPL19;MRPS26;OXA1L;MRPS35;MRPL4;MRPS9;MRPL16;MRPL44;MRPL50;MRPS31;MRPS18C;MRPL51;MRPL23;MRPL1;MRPL11;MRPS18B;MRPL37;MRPL58;MRPS34;MRPS17;MRPS15;MRPS22;MRPS5;MRPS16;MRPS2
Mitochondrial Translation Elongation R-HSA-5389840 [Reactome],0.7010295410919133,2.536326447825235,0.0,0.0,ERAL1;MRPL39;GFM1;MRPL55;MRPL3;MRPL14;MRPS7;GADD45GIP1;MRPL49;MRPL20;MRPL48;MRPL24;MRPS27;MRPL9;MRPL45;MRPS23;MRPS18A;MRPL43;MRPL12;MRPL15;MRPL53;TUFM;MRPS30;MRPL21;MRPL30;MRPL18;MRPL46;MRPL35;MRPL57;MRPL47;MRPL40;PTCD3;TSFM;MRPL38;MRPL17;MRPL41;MRPL32;MRPL13;MRPL19;MRPS26;OXA1L;MRPS35;MRPL4;MRPS9;MRPL16;MRPL44;MRPL50;MRPS31;MRPS18C;MRPL51;MRPL23;MRPL1;MRPL11;MRPS18B;MRPL37;MRPL58;MRPS34;MRPS17;MRPS15;MRPS22;MRPS5;MRPS16;MRPS2
Mitochondrial Translation Termination R-HSA-5419276 [Reactome],0.7004035658765454,2.5173978369581085,0.0,0.0,ERAL1;MRPL39;MRPL55;MRPL3;MRPL14;MRPS7;GADD45GIP1;MRPL49;MRPL20;MRRF;MRPL48;MRPL24;MRPS27;MRPL9;MRPL45;MRPS23;MRPS18A;MRPL43;MRPL12;MRPL15;MRPL53;MRPS30;MRPL21;MRPL30;MRPL18;MRPL46;MRPL35;MRPL57;MRPL47;MRPL40;PTCD3;MRPL38;MRPL17;MRPL41;MRPL32;MRPL13;MRPL19;MRPS26;OXA1L;MRPS35;MRPL4;MRPS9;MRPL16;MRPL44;MRPL50;MRPS31;MRPS18C;MRPL51;MRPL23;MRPL1;MRPL11;MRPS18B;MRPL37;MRPL58;MRPS34;MRPS17;MRPS15;MRPS22;MRPS5;MRPS16;MRPS2
Mitochondrial Translation Initiation R-HSA-5368286 [Reactome],0.7003568399416924,2.51575844808033,0.0,0.0,ERAL1;MRPL39;MRPL55;MRPL3;MRPL14;MRPS7;GADD45GIP1;MRPL49;MRPL20;MRPL48;MRPL24;MRPS27;MRPL9;MRPL45;MRPS23;MRPS18A;MRPL43;MRPL12;MRPL15;MRPL53;MRPS30;MRPL21;MRPL30;MRPL18;MRPL46;MRPL35;MRPL57;MRPL47;MRPL40;PTCD3;MTIF2;MRPL38;MRPL17;MRPL41;MRPL32;MRPL13;MRPL19;MRPS26;OXA1L;MRPS35;MRPL4;MRPS9;MRPL16;MRPL44;MRPL50;MRPS31;MRPS18C;MRPL51;MRPL23;MRPL1;MRPL11;MRPS18B;MRPL37;MRPL58;MRPS34;MRPS17;MRPS15;MRPS22;MRPS5;MRPS16;MRPS2
KEAP1-NFE2L2 Pathway R-HSA-9755511 [Reactome],-0.5731641390986427,-2.4260917892093925,0.0,0.0,NQO1;TXNRD1;AKT2;TALDO1;AKT1;GSR;PHGDH;TRIM21;TKT;PSMB9;GCLC;PSMB8;VCP;GCLM;PSMD5;PSME1;PSMD10;PSMD8;PSMB10;PSMB1;PSMD3;PSMF1;PSMB4;PRDX1;PSMD12;PSMD11;PSMA4;PSMD6;UFD1;UBXN7;EP300;PSMB6;NPLOC4;PSMA2;PSMA1;SKP1;PSMB3;PSMD4;PSMA3;PSMD9;PSME2;PSMA7;PSMC4;PSMC6;PSMB2;PSMD7;CUL1
Mitochondrial Protein Import R-HSA-1268020 [Reactome],0.7210067806428345,2.367339161298229,0.0,0.0,HSPD1;CHCHD2;PMPCA;TIMM8A;TIMM10;PMPCB;COA6;CMC2;HSPA9;TIMM23;VDAC1;TOMM22;TOMM40;TIMM13;TIMM9;SLC25A12;TIMM8B;SLC25A6;TIMM44;GRPEL1;IDH3G;ATP5F1A;TOMM6;PITRM1;TIMM50;CHCHD3;ATP5F1B;TIMM21;CS;BCS1L;TIMM10B;MTX2;SLC25A13;SAMM50;PAM16;DNAJC19
Regulation Of Ornithine Decarboxylase (ODC) R-HSA-350562 [Reactome],-0.6145529242807704,-2.346984305901126,0.0,0.000832872633720321,NQO1;PSMB9;PSMB8;PSMD5;PSME1;PSMD10;PSMD8;PSMB10;PSMB1;PSMD3;PSMF1;PSMB4;PSMD12;PSMD11;PSMA4;PSMD6;PSMB6;PSMA2;PSMA1;PSMB3;PSMD4;PSMA3;PSMD9;PSME2;PSMA7;PSMC4;PSMC6;PSMB2;PSMD7
Regulation Of PTEN Stability And Activity R-HSA-8948751 [Reactome],-0.5828457053648957,-2.3068038526713437,0.0,0.001665745267440642,AKT2;AKT1;PSMB9;PSMB8;PSMD5;PSME1;PSMD10;PSMD8;PSMB10;PSMB1;PSMD3;PSMF1;PSMB4;STUB1;PSMD12;PSMD11;PSMA4;PSMD6;PSMB6;PSMA2;PSMA1;PSMB3;PSMD4;PSMA3;PSMD9;PSME2;PSMA7;PSMC4;PSMC6;PSMB2;PSMD7
MAPK6/MAPK4 Signaling R-HSA-5687128 [Reactome],-0.565718392133936,-2.3005768746362856,0.0,0.0012493089505804815,HSPB1;PSMB9;PSMB8;ARHGEF7;PSMD5;PSME1;PSMD10;PSMD8;PSMB10;PSMB1;PSMD3;PSMF1;PSMB4;XPO1;PSMD12;PSMD11;PSMA4;PSMD6;SEPTIN7;PSMB6;PRKCA;PSMA2;PSMA1;PSMB3;DNAJB1;PSMD4;AGO2;PSMA3;PSMD9;PSME2;PSMA7;PSMC4;CDC42;PSMC6;PSMB2;PSMD7
Cross-presentation Of Soluble Exogenous Antigens (Endosomes) R-HSA-1236978 [Reactome],-0.6004565901198797,-2.2839544830388787,0.0,0.0009994471604643851,PSMB9;PSMB8;PSMD5;PSME1;PSMD10;PSMD8;PSMB10;PSMB1;PSMD3;PSMF1;PSMB4;PSMD12;PSMD11;PSMA4;PSMD6;PSMB6;PSMA2;PSMA1;PSMB3;PSMD4;PSMA3;PSMD9;PSME2;PSMA7;PSMC4;PSMC6;PSMB2;PSMD7
Degradation Of Beta-Catenin By Destruction Complex R-HSA-195253 [Reactome],-0.5598949815451032,-2.2808762494143977,0.0,0.0011104968449604281,PPP2R5D;PPP2R5A;PSMB9;PSMB8;CSNK1A1;PSMD5;PSME1;PSMD10;PSMD8;PSMB10;PSMB1;PSMD3;PSMF1;PSMB4;PPP2R5E;PSMD12;PSMD11;PSMA4;PSMD6;PPP2CA;PSMB6;PSMA2;PSMA1;SKP1;PSMB3;PSMD4;PSMA3;PSMD9;HDAC1;PSME2;PSMA7;PSMC4;PSMC6;PSMB2;PSMD7;CUL1;PPP2R5C
TCR Signaling R-HSA-202403 [Reactome],-0.570731048219961,-2.2797048375976683,0.0,0.0009518544385375098,PSMB9;PSMB8;ARHGEF7;PSMD5;PSME1;PSMD10;PSMD8;PSMB10;RELA;PSMB1;PSMD3;NCK1;PSMF1;PSMB4;CSK;PSMD12;PSMD11;PSMA4;PSMD6;PSMB6;PSMA2;UBE2V1;PSMA1;SKP1;PSMB3;ENAH;PSMD4;PSMA3;PSMD9;PSME2;PSMA7;PSMC4;PSMC6;PSMB2;PSMD7;CUL1
Activation Of NF-kappaB In B Cells R-HSA-1169091 [Reactome],-0.584572506061798,-2.276620458958217,0.0,0.000832872633720321,PSMB9;PSMB8;PSMD5;PSME1;PSMD10;PSMD8;PSMB10;RELA;PSMB1;PSMD3;PSMF1;PSMB4;NFKBIB;PSMD12;PSMD11;PSMA4;PSMD6;PSMB6;PSMA2;PSMA1;SKP1;PSMB3;PSMD4;PSMA3;PSMD9;PSME2;PSMA7;PSMC4;PSMC6;PSMB2;PSMD7;CUL1
Nuclear Events Mediated By NFE2L2 R-HSA-9759194 [Reactome],-0.5611410425153668,-2.26680355663054,0.0,0.0007403312299736187,NQO1;TXNRD1;TALDO1;GSR;PHGDH;TKT;PSMB9;GCLC;PSMB8;GCLM;PSMD5;PSME1;PSMD10;PSMD8;PSMB10;PSMB1;PSMD3;PSMF1;PSMB4;PRDX1;PSMD12;PSMD11;PSMA4;PSMD6;EP300;PSMB6;PSMA2;PSMA1;SKP1;PSMB3;PSMD4;PSMA3;PSMD9;PSME2;PSMA7;PSMC4;PSMC6;PSMB2;PSMD7;CUL1
FCERI Mediated NF-kB Activation R-HSA-2871837 [Reactome],-0.5816416290981549,-2.2585161516671226,0.0,0.000832872633720321,PSMB9;PSMB8;PSMD5;PSME1;PSMD10;PSMD8;PSMB10;RELA;PSMB1;PSMD3;PSMF1;PSMB4;PSMD12;PSMD11;PSMA4;PSMD6;PSMB6;PSMA2;UBE2V1;PSMA1;SKP1;PSMB3;PSMD4;PSMA3;PSMD9;PSME2;PSMA7;PSMC4;PSMC6;PSMB2;PSMD7;CUL1
