gene,uniprot,log2FC_2Dvs3D,padj,dir_3D,modalities,approved,drug_count,max_phase,luad_score,description,lung_ca_score,chembl_sterol_axis,druggable_any
LAMB3,Q13751,1.2,0.000848,down_in_3D,"AB,OC,PR",False,1,4.0,,Laminin subunit beta-3,,,True
FA2H,Q7L5A8,1.2,0.000549,down_in_3D,"AB,PR",False,0,,,Fatty acid 2-hydroxylase,,,False
MTHFD2,P13995,1.22,0.00159,down_in_3D,"PR,SM",False,0,,,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",0.1,,False
ELOVL7,A1L3X0,1.23,0.00147,down_in_3D,"AB,PR,SM",False,0,,,Very long chain fatty acid elongase 7,,ELOVL inhibitors (preclinical),True
TMEM33,P57088,1.23,0.00276,down_in_3D,"AB,PR",False,0,,,Transmembrane protein 33,0.01,,False
IREB2,P48200,1.24,0.000241,down_in_3D,"PR,SM",False,0,,,Iron-responsive element-binding protein 2,0.194,,False
MET,P08581,1.25,0.0067,down_in_3D,"AB,OC,PR,SM",True,38,4.0,,Hepatocyte growth factor receptor,0.724,,True
PVR,P15151,1.26,0.00277,down_in_3D,"AB,PR,SM",False,0,,,Poliovirus receptor,0.098,,False
SDHAF2,Q9NX18,1.27,0.006,down_in_3D,"PR,SM",False,0,,,"Succinate dehydrogenase assembly factor 2, mitochondrial",0.293,,False
FDFT1,P37268,1.31,0.00251,down_in_3D,"AB,PR,SM",False,1,3.0,,Squalene synthase,,lapaquistat/squalene-synthase inhibitor (Ph3),True
KRT23,Q9C075,1.33,0.000414,down_in_3D,,False,0,,,"Keratin, type I cytoskeletal 23",,,False
SLC2A1,P11166,1.35,0.000536,down_in_3D,"AB,PR,SM",False,0,,,"Solute carrier family 2, facilitated glucose transporter member 1",,,False
LAMC2,Q13753,1.37,0.000659,down_in_3D,"AB,OC,PR",False,1,4.0,,Laminin subunit gamma-2,,,True
